route_id,agency_id,route_short_name,route_long_name,route_type
0401,BEST,40LTD,P.THAKRE UDN.BUS STN.-BORIVLI STN(E),3
0410,BEST,41,FERRY WHARF-KAMLA NEHRU PARK,3
0412,BEST,41EXT,FERRY WHARF-FERRY WHARF,3
0420,BEST,42,FERRY WHARF-KAMLA NEHRU PARK,3
0426,BEST,C-42 EXP,RANI LAXMIBAI CHK.-DADLANI PARK (THANE-W),3
0430,BEST,43,MAHARANA PRATAP CHK.-PRATIKSHA NGR.DEPOT,3
0432,BEST,43-EXTRA,FERRY WHARF-PRATIKSHA NGR.DEPOT,3
0433,BEST,DDR PHERI-3,DADAR STN-W (KABUTARKHANA)-DADAR STN-W (KABUTARKHANA),3
0434,BEST,DDR PHERI-1,DADAR STN (E)-BHARANI NAKA (ANTOP HILL),3
0435,BEST,DDR PHERI-2,DADAR STN.-W-DADAR CREMATORIUM/CHAITYABHUMI,3
0440,BEST,44,COLABA DEPOT-WORLI VILLAGE,3
0442,BEST,44-EXTRA,COLABA BUS STN.-FERRY WHARF,3
0446,BEST,C-44 EXP,MAROL DEPOT-PAWAR NGR.BUS STN.(THANE),3
0450,BEST,45,MANTRALAYA-ANIK DEPOT,3
0460,BEST,46,FERRY WHARF-DHARAVI DEPOT,3
0466,BEST,C-46 EXP,MAROL DEPOT-LODHA COMPLEX,3
0480,BEST,48,FERRY WHARF-AUGUST KRANTI MAIDAN,3
0490,BEST,49,SWAMI D.SARASWATI CHK.-NADKARNI PARK,3
0500,BEST,50,FERRY WHARF-WORLI DEPOT,3
0506,BEST,C-50 EXP,WORLD TRADE CENTRE-VASHI BUS STN.,3
0510,BEST,51,COLABA BUS STN.-SANTACRUZ DEPOT,3
0524,BEST,52 RING,DHARAVI DEPOT-DHARAVI DEPOT,3
0526,BEST,C-52 EXP,WADALA DEPOT-KALAMBOLI BUS STN,3
0530,BEST,53,WORLI DEPOT-LOKMANYA TILAK TERMINUS,3
0536,BEST,C-53 EXP,GHATKOPAR BUS STN./GKD-KALAMBOLI BUS STN,3
0554,BEST,55 RING,WORLI DEPOT-WORLI DEPOT,3
0556,BEST,C-55 EXP,BANDRA BUS STN(W)-C.B.D. BELAPUR BUS STN.,3
0560,BEST,56,WORLI VILLAGE-VESAVA-YARI RD.BUS STN.,3
0570,BEST,57,KAMLA NEHRU PARK-P.THAKRE UDN.BUS STN.,3
0580,BEST,58,WADALA TRUCK TERMINAL-KURLA BUS STN (E),3
0590,BEST,59,VEER KOTWAL UDN. (PLAZA)-KURLA BUS STN (E),3
0600,BEST,60,MAHARANA PRATAP CHK.-KURLA BUS STN (E),3
0606,BEST,C-60 EXP,DEONAR DEPOT-BORIVLI STN(E),3
0610,BEST,61,SWAMI D.SARASWATI CHK.-MAHIM MACHHIMAR NGR.,3
0616,BEST,C-61 EXP,MULUND DEPOT-MIRA RD.STN.(E),3
0620,BEST,62,MUMBAI CENTRAL DEPOT-VIDYA VIHAR BUS STN(W),3
0630,BEST,63,J.MEHTA MARG-CHUNABHATTI BUS TERMINUS,3
0640,BEST,64,BABULNATH-MAHESHWARI UDN.,3
0650,BEST,65,DR.SHAMAPRASAD MUKHERJI CHK.-ANIK DEPOT,3
0660,BEST,66,BALLARD PIER-RANI LAXMIBAI CHK.(BUS STN.),3
0661,BEST,66LTD,COLABA DEPOT-DHARAVI DEPOT,3
0670,BEST,67,KAMLA NEHRU PARK-ANTOP HILL BUS STN.,3
0690,BEST,69,DR.SHYAMAPRASAD MUKHERJI CHK.-P.THAKRE UDN.BUS STN.,3
0700,BEST,70,COLABA DEPOT-DHARAVI DEPOT,3
0710,BEST,71,BYCULLA STN.(W)-RAM GANESH GADKARI CHK.,3
0716,BEST,C-71 EXP,MAHIM BUS STN.-MIRA RD.STN.(E),3
0726,BEST,C-72 EXP,RANI LAXMIBAI CHK.-BHAYANDER STN.(E),3
0736,BEST,198-EXP(BHAYANDER),P.THAKRE UDN.BUS STN.-BHAYANDER STN.(E),3
0740,BEST,74,DR.SHYAMAPRASAD MUKHERJI CHK.-MAHIM BUS STN.,3
0746,BEST,198-EXP(AIROLI),P.THAKRE UDN.BUS STN.-AIROLI BUS STN.,3
0748,BEST,A-74EXP,NEHRU PLANETARIUM-GOREGAON DEPOT,3
0750,BEST,75,ANTOP HILL BUS STN.-TATA CLY.,3
0756,BEST,198-EXP (THANE),P.THAKRE UDN.BUS STN.-CADBURY JN.(THANE),3
0758,BEST,A-75EXP,NEHRU PLANETARIUM-HIRANANDANI GARDEN,3
0759,BEST,A-75 EXTRA,AGARKAR CHK.-MAJAS DEPOT/SHYAM NGR.,3
0760,BEST,76,MANTRALAYA-PRATIKSHA NGR.DEPOT,3
0768,BEST,A-76EXP,NEHRU PLANETARIUM-GORAI DEPOT,3
0770,BEST,77,J.MEHTA MARG-WADALA DEPOT,3
0778,BEST,A-77EXP,BKC TEL.EXCHANGE-GORAI DEPOT,3
0790,BEST,79,BANDRA BUS STN(W)-GORAI DEPOT,3
0801,BEST,80LTD,KAMLA NEHRU PARK-J.V.P.D.BUS STN.,3
0811,BEST,81LTD,MANTRALAYA-SANTACRUZ DEPOT,3
0820,BEST,82,MANTRALAYA-WORLI DEPOT,3
0830,BEST,83,COLABA BUS STN.-SANTACRUZ DEPOT,3
0841,BEST,84LTD,PT.PALUSKAR CHK.-OSHIWARA DEPOT,3
0850,BEST,85,WORLD TRADE CENTRE-KURLA BUS STN (E),3
0852,BEST,85-EXTRA,HUTATMA CHK./MUMBAI UNIVERSITY-CHUNABHATTI BUS TERMINUS,3
0860,BEST,86,BACKBAY DEPOT-BANDRA BUS STN(W),3
0871,BEST,87LTD,MANTRALAYA-BANDRA CLY.BUS STN,3
0880,BEST,88,MANTRALAYA-PRATIKSHA NGR.DEPOT,3
0890,BEST,89,MANTRALAYA-WORLI DEPOT,3
0911,BEST,91LTD,MUMBAI CENTRAL DEPOT-LOKMANYA TILAK TERMINUS,3
0921,BEST,92LTD,WORLD TRADE CENTRE-ANUSHAKTI NGR.BUS STN.,3
0931,BEST,93LTD,MANTRALAYA-GOVANDI BUS STN,3
1004,BEST,100 RING,AHILYABAI HOLKAR CHOWK-AHILYABAI HOLKAR CHK.,3
1010,BEST,101,COLABA DEPOT-WALKESHWAR,3
1030,BEST,103,R.C.CHURCH-KAMLA NEHRU PARK,3
1044,BEST,104 RING,J.MEHTA MARG-J.MEHTA MARG,3
1054,BEST,105 RING,KAMLA NEHRU PARK-KAMLA NEHRU PARK,3
1060,BEST,106,R.C.CHURCH-KAMLA NEHRU PARK,3
1080,BEST,108,CHH. SHIVAJI TERMINUS(BHATIA)-KAMLA NEHRU PARK,3
1082,BEST,108-EXTRA,CHH. SHIVAJI TERMINUS(BHATIA)-KAMLA NEHRU PARK,3
1100,BEST,110,COM.P.K.KURNE CHK.-SANGAM NGR.,3
1114,BEST,111 RING,CHH. SHIVAJI TERMINUS(BHATIA)-CHH. SHIVAJI TERMINUS(BHATIA),3
1120,BEST,112,AHILYABAI HOLKAR CHOWK-GATE WAY OF INDIA,3
1200,BEST,120,DAVA BAZAR(KALBADEVI)-PT.PALUSKAR CHK.,3
1210,BEST,121,BACKBAY DEPOT-J.MEHTA MARG,3
1220,BEST,122,BALLARD PIER-J.MEHTA MARG,3
1230,BEST,123,R.C.CHURCH-VASANTRAO NAIK CHK.,3
1240,BEST,124,COLABA BUS STN.-WORLI DEPOT,3
1250,BEST,125,NAVY NGR.-WORLI VILLAGE,3
1260,BEST,126,MANTRALAYA-JIJAMATA UDN.,3
1300,BEST,130,DR.SHAMAPRASAD MUKHERJI CHK.-VASANTRAO NAIK CHK.,3
1324,BEST,132 RING,COLABA BUS STN.-COLABA BUS STN.,3
1334,BEST,133 RING,COLABA BUS STN.-COLABA BUS STN.,3
1340,BEST,134,BACKBAY DEPOT-P.THAKRE UDN.BUS STN.,3
1350,BEST,135,FERRY WHARF-J.MEHTA MARG,3
1372,BEST,137-EXTRA,NAVY NGR.-NAVY NGR.,3
1374,BEST,137 RING,NAVY NGR.-NAVY NGR.,3
1380,BEST,138,BACKBAY DEPOT-CHH. SHIVAJI TERMINUS(BHATIA),3
1390,BEST,139,GEETANGR.-CHH. SHIVAJI TERMINUS,3
1510,BEST,151,J.MEHTA MARG-WADALA DEPOT,3
1540,BEST,154,BYCULLA STN.(W)-NEHRU PLANETARIUM,3
1554,BEST,155 RING,GRANT RD STN.(W)-GRANT RD STN.(W),3
1560,BEST,156,SIMLA HOUSE-BYCULLA STN.(W),3
1600,BEST,160,P.THAKRE UDN.BUS STN.-RAM GANESH GADKARI CHK.,3
1610,BEST,161,WORLI DEPOT-NADKARNI PARK,3
1620,BEST,162,P.THAKRE UDN.BUS STN.-WORLI VILLAGE,3
1630,BEST,163,P.THAKRE UDN.BUS STN.-WORLI DEPOT,3
1634,BEST,SWR-1,P.THAKRE UDN.BUS STN.-P.THAKRE UDN.BUS STN.,3
1640,BEST,164,MAHARANA PRATAP CHK.-DHARAVI DEPOT,3
1650,BEST,165,KASTURBA GANDHI CHK.-DHARAVI DEPOT,3
1660,BEST,166,MUMBAI CENTRAL DEPOT-DHARAVI DEPOT,3
1672,BEST,167-EXT.RING,WORLI DEPOT-WORLI DEPOT,3
1674,BEST,167 RING,COM.P.K.KURNE CHK.-COM.P.K.KURNE CHK.,3
1680,BEST,168,LAL BAHADDUR SHASTRI COLLEGE-WADALA DEPOT,3
1682,BEST,168 EXTRA,LAL BAHADDUR SHASTRI COLLEGE-JIJAMATA UDN.,3
1690,BEST,169,WORLI VILLAGE-PRATIKSHA NGR.DEPOT,3
1700,BEST,1700,ANTOP HILL EXTN.-RANI LAXMIBAI CHK.,3
1710,BEST,171,WORLI DAIRY-ANTOP HILL BUS STN.,3
1720,BEST,172,BYCULLA STN.(W)-PRATIKSHA NGR.DEPOT,3
1734,BEST,173 RING,RANI LAXMIBAI CHK.(BUS STN.)-RANI LAXMIBAI CHK.(BUS STN.),3
1740,BEST,174,VEER KOTWAL UDN. (PLAZA)-BHARANI NAKA (ANTOP HILL),3
1800,BEST,180,RANI LAXMIBAI CHK.(BUS STN.)-MALVANI DEPOT/ GAIKWAD NGR.,3
1810,BEST,181,ANTOP HILL EXTN.-SEEPZ BUS STN.,3
1820,BEST,182,BANDRA EAST BUS STN-MALAD DEPOT,3
1824,BEST,BKC-1,BANDRA RLY.TERMINUS-BANDRA RLY.TERMINUS,3
1834,BEST,BKC-2,KURLA STN (W)-KURLA STN (W),3
1840,BEST,184,AGARKAR CHK.-MAROL MAROSHI BUS STN.,3
1850,BEST,185,KANNAMWAR NGR.NO 2-AGARKAR CHK.,3
1860,BEST,186,AGARKAR CHK.-VIHAR LAKE,3
1874,BEST,BKC-3,BANDRA RLY.TERMINUS-BANDRA RLY.TERMINUS,3
1881,BEST,188LTD,BORIVLI STN(E)-KANHERI CAVES,3
1920,BEST,192,BANDRA CLY.BUS STN-KURLA STN (W),3
2000,BEST,200,SHRAWAN YESHWANTE CHK.-VESAVA-YARI RD.BUS STN.,3
2010,BEST,201,P.THAKRE UDN.BUS STN.-GOREGAON BUS STN(W),3
2021,BEST,202LTD,MAHIM BUS STN.-GORAI DEPOT,3
2030,BEST,203,JUHU BEACH-DAHISAR BRIDGE,3
2044,BEST,204 RING,GOREGAON BUS STN(W)-GOREGAON BUS STN(W),3
2054,BEST,205 RING,JOGESHWARI BUS STN-JOGESHWARI BUS STN,3
2060,BEST,206,GORAI DEPOT-I.C.CLY.,3
2070,BEST,207,MALVANI DEPOT/ GAIKWAD NGR.-DAHISAR BUS STN.,3
2080,BEST,208,BORIVLI BUS STN(W)-SARASWATI COMPLEX(DAHISAR),3
2094,BEST,209 RING,SAMATA NGR.BUS STN.(KANDIVLI-E)-SAMATA NGR.BUS STN.(KANDIVLI-E),3
2101,BEST,210LTD,VESAVA-YARI RD.BUS STN.-DAHISAR BRIDGE,3
2106,BEST,SPASTIC SOCIETY,R.K.STUDIO-BORIVLI BUS STN(W),3
2114,BEST,211 RING,FATHER AGNEL ASHRAM-FATHER AGNEL ASHRAM,3
2120,BEST,212,P.THAKRE UDN.BUS STN.-BANDRA BUS STN(W),3
2130,BEST,213,P.THAKRE UDN.BUS STN.-SANTACRUZ STN (E),3
2140,BEST,214,BANDRA BUS STN(W)-MOUNT MARY STEPS( MUNICIPAL GARDEN),3
2152,BEST,215 EXT BANDRA FAIR,FATHER AGNEL ASHRAM-FATHER AGNEL ASHRAM,3
2154,BEST,215 RING,BND RECLAMATION BUS STN.-BND RECLAMATION BUS STN.,3
2160,BEST,216,BANDRA BUS STN(W)-KHAR STN (W),3
2174,BEST,217,DADAR STN (E)-DADAR STN (E),3
2190,BEST,219,BANDRA RLY.TERMINUS-SANTACRUZ STN (E),3
2200,BEST,220,BANDRA BUS STN(W)-KHAR STN (W),3
2210,BEST,221,ANDHERI STN.(W) (KUMKUM)-VESAVA-YARI RD.BUS STN.,3
2220,BEST,222,BANDRA BUS STN(W)-VESAVA-YARI RD.BUS STN.,3
2231,BEST,223LTD,SEVEN BUNGALOWS BUS STN.-SAMATA NGR.BUS STN.(KANDIVLI-E),3
2240,BEST,224,SANTACRUZ DEPOT-BORIVLI BUS STN(W),3
2250,BEST,225,BANDRA BUS STN(W)-DAHISAR BUS STN.,3
2261,BEST,226LTD,BARVE NGR.-P.THAKRE NGR BUS.STN.,3
2290,BEST,229,SANTACRUZ DEPOT-SHANTI ASHRAM,3
2310,BEST,231,SANTACRUZ STN (W)-JUHU BUS STN.,3
2330,BEST,233,BORIVLI STN(E)-CHOGLE NGR.,3
2344,BEST,234 RING,JOGESHWARI BUS STN-JOGESHWARI BUS STN,3
2354,BEST,235 RING,ANDHERI STN.(W)-ANDHERI STN.(W),3
2360,BEST,236,ANDHERI BUS STN.(W)-S.R.A.RAM MANDIR/SOMANIGRAM,3
2390,BEST,239,KANDIVLI STN.(W)-CHARKOP SEC.NO.9/AKSHARA VIDYALAYA,3
2404,BEST,240 RING,KANDER PADA BUS STN-KANDER PADA BUS STN,3
2410,BEST,241,WADALA DEPOT-MALVANI DEPOT/ GAIKWAD NGR.,3
2424,BEST,242 RING,ANDHERI STN.(W)-ANDHERI STN.(W),3
2430,BEST,243,MALAD STN-W(ANAND MARG CHKY)-JANKALYAN NGR.,3
2444,BEST,244 RING,KANDIVLI STN.(W)-KANDIVLI STN.(W),3
2450,BEST,245,P.THAKRE NGR BUS.STN.-KANDER PADA BUS STN,3
2464,BEST,246 RING,KANDIVLI STN.(W)-KANDIVLI STN.(W),3
2474,BEST,247 RING,BORIVLI STN.(W) BUS STN.-BORIVLI STN.(W) BUS STN.,3
2480,BEST,248,ANDHERI BUS STN.(W)-RAMESH NGR.,3
2490,BEST,249,ANDHERI STN.(W) (KUMKUM)-VESAVA-YARI RD.BUS STN.,3
2500,BEST,250,ANDHERI STN.(W) (KUMKUM)-GILBERT HILL(PANCHAM SCTY.),3
2510,BEST,251,ANDHERI STN.(W) (KUMKUM)-VESAVA-YARI RD.BUS STN.,3
2524,BEST,252 RING,ANDHERI BUS STN.(W)-ANDHERI BUS STN.(W),3
2530,BEST,253,JUHU BUS STN.-MALAD DEPOT,3
2540,BEST,254,ANDHERI STN.(W) (M.A)-VEERA DESAI RD.EXTN.,3
2551,BEST,255LTD,PRATIKSHA NGR.DEPOT-VESAVA-YARI RD.BUS STN.,3
2560,BEST,256,JUHU BEACH-MALVANI DEPOT/ GAIKWAD NGR.,3
2572,BEST,JVPD-1,ANDHERI STN.(W)-ANDHERI STN.(W),3
2580,BEST,258,GOREGAON BUS STN(W)-S.R.A.CLY.EXTN.,3
2590,BEST,259,ANDHERI STN.(W) (KUMKUM)-GORAI DEPOT,3
2600,BEST,2600,BORIVLI STN(W)-KANDER PADA BUS STN,3
2610,BEST,261,JOGESHWARI BUS STN-GOREGAON BUS STN(W),3
2622,BEST,262EXTRA,GOREGAON BUS STN(W)-GOREGAON BUS STN(W),3
2624,BEST,2624,GOREGAON BUS STN(W)-GOREGAON BUS STN(W),3
2630,BEST,263,SADBHAKTI MANDIR-SEEPZ BUS STN.,3
2640,BEST,264,SADBHAKTI MANDIR-SAMARTH NGR.,3
2650,BEST,265,JOGESHWARI BUS STN-MILLAT NGR.,3
2660,BEST,266,ANDHERI BUS STN.(W)-SHREE SWAMI SAMARTH NGR.EXT.,3
2684,BEST,268 RING,ANDHERI STN.(W)-ANDHERI STN.(W),3
2690,BEST,269,MADH JETTY-BORIVLI STN.(W) BUS STN.,3
2700,BEST,270,MALAD STN-W(SAINATH MARG CHKY)-MAHAPALIKA PUMPING CENTRE (MALVANI),3
2710,BEST,271,MALAD STN-W(ANAND MARG CHKY)-MADH JETTY,3
2720,BEST,272,MALAD STN-W(KASTURBA CHKY)-MARVE BEACH-ESSEL WORLD,3
2734,BEST,273 RING,MALAD STN-W(SAINATH MARG CHKY)-MALAD STN-W(SAINATH MARG CHKY),3
2760,BEST,276,KANDIVLI STN.(W)-CHARKOP SECT.NO.8,3
2770,BEST,277,KANDIVLI STN.(W)-BORIVLI STN(W),3
2784,BEST,278 RING,POISAR DEPOT-POISAR DEPOT,3
2804,BEST,280 RING,KANDIVLI STN.(W)-KANDIVLI STN.(W),3
2810,BEST,281,PUSHPA PARK-KANDIVLI STN.(W),3
2820,BEST,282,KANDIVLI BUS STN.( E )-DAMU NGR.EXTN.,3
2830,BEST,283,KANDIVLI STN.(W)-SANTOSH NGR.(KANDIVALI-W),3
2860,BEST,286,KANDIVLI STN.(W)-CHARKOP VILLAGE,3
2870,BEST,287,KANDIVLI BUS STN.( E )-E.S.I.S HOSP (THAKUR VILLAGE),3
2884,BEST,288 RING,KANDIVLI BUS STN.( E )-KANDIVLI BUS STN.( E ),3
2894,BEST,289 RING,KANDIVLI BUS STN.( E )-KANDIVLI BUS STN.( E ),3
2901,BEST,290LTD,SEEPZ BUS STN.-POISAR DEPOT,3
2910,BEST,291,KANDIVLI STN.(W)-BHABREKAR NAGAR EXTN.,3
2930,BEST,293,BORIVLI STN(E)-JAGERDEV COMPOUND,3
2944,BEST,294 RING,BORIVLI STN.(W) BUS STN.-BORIVLI STN.(W) BUS STN.,3
2964,BEST,296 RING,SHANTI ASHRAM-SHANTI ASHRAM,3
2970,BEST,297,BORIVLI STN(E)-KOKANIPADA EXTN.,3
2972,BEST,297-EXTRA,BORIVLI STN(E)-VAISHALI NGR.,3
2980,BEST,298,BORIVLI STN(E)-RAWAL PADA(BORIVLI-E),3
2990,BEST,299,JAY MAHARASHTRANGR.-BORIVLI STN(E),3
3004,BEST,300 RING,KANDIVLI BUS STN.( E )-KANDIVLI BUS STN.( E ),3
3010,BEST,301,BORIVLI STN(E)-HANUMAN TEKDI,3
3020,BEST,302,PRATIKSHA NGR.DEPOT-MAHARANA PRATAP CHK.(MULUND),3
3030,BEST,303,BANDRA RLY.TERMINUS-MHADA CLY.BUS STN.(MULUND-E),3
3040,BEST,3040,LOKMANYA TILAK TERMINUS-VIKHROLI DEPOT,3
3050,BEST,305,TARDEO BUS STN/RUSHI MEHTA CHK.-GHATKOPAR BUS STN./GKD,3
3061,BEST,306LTD,SANTACRUZ STN (E)-MULUND RLY.STN.(W),3
3063,BEST,306 LTD EXTRA,SANTACRUZ STN (E)-MULUND RLY.STN.(W),3
3080,BEST,308,VIDYA VIHAR BUS STN(W)-MAJAS DEPOT/SHYAM NGR.,3
3082,BEST,308-EXT.,VIDYA VIHAR BUS STN(W)-SAHAR CARGO COMPLEX,3
3091,BEST,309LTD,KURLA STN (W)-GORAI DEPOT,3
3100,BEST,310,KURLA STN (W)-BANDRA RLY.TERMINUS,3
3110,BEST,311,SANTACRUZ STN (E)-AIR INDIA QUARTERS,3
3120,BEST,312,PRATIKSHA NGR.DEPOT-SEEPZ BUS STN.,3
3130,BEST,313,KURLA STN (W)-SANTACRUZ STN (E),3
3132,BEST,313-EXT.,KURLA STN (W)-AIR INDIA QUARTERS,3
3150,BEST,315,PRATIKSHA NGR.DEPOT-SANTACRUZ STN (E),3
3160,BEST,316,BANDRA RLY.TERMINUS-BANDRA CLY.BUS STN,3
3170,BEST,317,BANDRA RLY.TERMINUS-TATA CLY.,3
3180,BEST,318,KURLA STN (W)-SANTACRUZ STN (E),3
3190,BEST,319,AGARKAR CHK.-MHADA CLY.(CHANDIVLI),3
3200,BEST,320,KURLA STN (W)-FILTER PADA,3
3211,BEST,321LTD,MAHIM BUS STN.-BARVE NGR.,3
3220,BEST,322,VIDYA VIHAR BUS STN(W)-MAHANT RD./PARLE(E),3
3230,BEST,323,VIDYA VIHAR BUS STN(W)-SANGHARSH NGR.(CHANDIVLI),3
3240,BEST,324,WORLI DEPOT-MAROL MAROSHI BUS STN.,3
3250,BEST,325,KURLA STN (W)-GHATKOPAR STN.(W),3
3260,BEST,326,KURLA STN (W)-SHIVSHAHI PRAKALP/MANTRI PARK,3
3270,BEST,327,GOREGAON STN(E)-SHIVSHAI PRAKALP/MANTRI PARK,3
3280,BEST,328,BAMANDAYA PADA-VESAVA-YARI RD.BUS STN.,3
3290,BEST,329,SHIVAJI NGR.DEPOT-AGARKAR CHK.,3
3301,BEST,330LTD,KURLA STN (W)-SEVEN BUNGALOWS BUS STN.,3
3310,BEST,331,GHATKOPAR STN.(W)-CHH. SHIVAJI INT.AIRPORT(SAHARA),3
3320,BEST,332,KURLA STN (W)-MAJAS DEPOT/SHYAM NGR.,3
3330,BEST,333,NEW QTRS( CHAKALA CIGARETTE FACTORY-KONDIVTE CAVES/MAHAKALI CAVES,3
3340,BEST,334,GHATKOPAR STN.(W)-MAROL DEPOT,3
3350,BEST,335,AGARKAR CHK.-SANGHARSH NGR.(CHANDIVLI),3
3360,BEST,336,J.V.P.D.BUS STN.-VIDYA VIHAR BUS STN(W),3
3370,BEST,337,AGARKAR CHK.-CHH. SHIVAJI INT.AIRPORT(SAHARA),3
3380,BEST,338,AGARKAR CHK.-SAHAR CARGO COMPLEX,3
3390,BEST,339,JUHU BUS STN.-MAJAS DEPOT/SHYAM NGR.,3
3400,BEST,340,GHATKOPAR STN.(W)-AGARKAR CHK.,3
3402,BEST,340EXTRA,BARVE NGR.-AGARKAR CHK.,3
3410,BEST,341,ANTOP HILL BUS STN.-GOREGAON STN-E,3
3420,BEST,342,GOREGAON STN(E)-KOKAN VIKAS,3
3430,BEST,343,GOREGAON STN(E)-DADASAHEB PHALHKE CHITRA NGRY,3
3444,BEST,344 RING,GOREGAON STN(E)-GOREGAON STN(E),3
3450,BEST,345,SANTOSH NGR.EXTN.-GORAI DEPOT,3
3460,BEST,346,GOREGAON STN(E)-SHIVSHAI PRAKALP/MANTRI PARK,3
3474,BEST,347 RING,GOREGAON STN(E)-GOREGAON STN(E),3
3481,BEST,348LTD,CHUNABHATTI BUS TERMINUS-DAHISAR BUS STN.,3
3483,BEST,348LTD-EXTRA,ANIK DEPOT-DAHISAR BUS STN.,3
